mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.4525228341420493,0.14764384076911646,0.09084868431091309,0.026805614956309978,squared_error,10,log2,2,2,400,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}",-1295895.509031268,-1251215.7065739802,-1246227.2571699678,-1264446.1575917387,22331.10590393843,155
0.5051644643147787,0.02016866538093327,0.019924243291219074,5.2587858437682575e-05,squared_error,10,log2,2,5,100,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-1334277.3073948217,-1269523.0567672837,-1289932.5986655375,-1297910.9876092141,27031.084096966806,239
0.9891645113627116,0.003941161922709508,0.04082043965657552,0.004418698369164118,squared_error,10,log2,2,5,200,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-1307946.371407369,-1259824.3837795632,-1248525.5116748225,-1272098.7556205848,25764.378456924944,161
1.4889058272043865,0.011176185084412335,0.055982510248819985,0.0017739471248080611,squared_error,10,log2,2,5,300,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-1305109.2851219072,-1267540.6052408116,-1254557.5795161924,-1275735.8232929704,21435.794582948358,177
1.9601853688557942,0.019807839069639212,0.07316382726033528,0.0031697499796386986,squared_error,10,log2,2,5,400,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}",-1304893.7983260497,-1266946.0763388188,-1255805.4741818863,-1275881.7829489182,21012.710935478168,179
0.4710842768351237,0.00894820732072657,0.018948793411254883,0.00036018574758259756,squared_error,10,log2,2,10,100,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-1378464.8981754312,-1318008.5153700886,-1302762.4718393956,-1333078.6284616385,32690.932175296974,373
1.2214637597401936,0.16724248312142231,0.061963558197021484,0.020061118430420993,squared_error,10,log2,2,10,200,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-1381275.172419274,-1305849.805175859,-1282314.2693322587,-1323146.4156424638,42211.33051029866,351
1.566031773885091,0.20464348067025925,0.0543520450592041,0.0028083594749445783,squared_error,10,log2,2,10,300,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",-1389407.1631477482,-1302386.653545152,-1276827.2580095015,-1322873.6915674673,48189.54108815177,349
1.9166615009307861,0.011793402242293303,0.06804776191711426,0.002515525771459801,squared_error,10,log2,2,10,400,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 400}",-1376159.3665766353,-1304591.6910617906,-1286844.113647529,-1322531.7237619848,38606.451804593424,347
0.4596681594848633,0.008576782423386236,0.021603107452392578,0.0033855888706219093,squared_error,10,log2,4,2,100,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-1418995.040627667,-1340858.1064215144,-1325919.1180413028,-1361924.0883634947,40813.50705922894,441
0.9348910649617513,0.0032454422686188935,0.03634023666381836,0.001368605174257686,squared_error,10,log2,4,2,200,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-1382593.0305962283,-1332478.055851826,-1292992.268762973,-1336021.1184036757,36665.0523837953,375
1.4165216286977131,0.01718908532728623,0.05485971768697103,0.0016550286820690605,squared_error,10,log2,4,2,300,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",-1380862.6348236536,-1333117.9033112614,-1310338.9109816079,-1341439.816372174,29386.3866881966,387
2.446652332941691,0.3039964131399877,0.085358460744222,0.01841453200652228,squared_error,10,log2,4,2,400,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 400}",-1375014.9824146507,-1331889.9310031706,-1303996.5992344946,-1336967.1708841054,29214.567838520634,383
0.47080222765604657,0.00903369007262166,0.019274314244588215,0.0004279767051097789,squared_error,10,log2,4,5,100,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-1418995.040627667,-1340858.1064215144,-1325919.1180413028,-1361924.0883634947,40813.50705922894,441
0.9347649415334066,0.011053880103169753,0.03589185078938802,0.0007008041591402164,squared_error,10,log2,4,5,200,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-1382593.0305962283,-1332478.055851826,-1292992.268762973,-1336021.1184036757,36665.0523837953,375
